unique_identifier,project_name,condition,replicate_id,reference_condition_identifier,reference_strain,deleted_genes,mutated_genes,overexpressed_genes,perturbed_gene_ids,doi,pmid,organism,dataset,R1,R2,pH,GEO,Run,SRX,contact,creator,project,Platform,run_date,full_name,sample_id,Base Media,Culture Type,n_replicates,LibraryLayout,passed_fastqc,Evolved Sample,Temperature (C),Electron Acceptor,Sequencing Machine,Strain Description,Carbon Source (g/L),Biological Replicates,Nitrogen Source (g/L),Trace Element Mixture,passed_pct_reads_mapped,passed_number_replicates,passed_global_correlation,passed_similar_replicates,passed_reads_mapped_to_CDS,Supplement,Growth Rate (1/hr),Antibiotic for selection,Additional Details,Isolate Type
p1k_00022,Oxidative,deloxyr_pq,2,p1k_00019;p1k_00020,MG1655,oxyr,,,"b3961",10.1016/j.celrep.2015.07.043,,e_coli,precise1k,s3://precise-db/raw_data/oxidative/oxyR-PQ-RNAseq-2_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxidative/oxyR-PQ-RNAseq-2_S1_L001_R2_001.fastq.gz,7,GSE65711,SRR1796601,SRX871631,Sangwoo Seo,Sangwoo Seo,oxidative,ILLUMINA,9/4/2014,oxidative:deloxyr_pq,oxidative__deloxyr_pq__2,M9,Batch,2,PAIRED,TRUE,No,37,O2,MiSeq,Escherichia coli K-12 MG1655 del_oxyR,glucose(2),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,PQ (250uM),0,Kanamycin (50 ug/mL),,
p1k_00023,Oxidative,delsoxr_pq,1,p1k_00019;p1k_00020,MG1655,soxr,,,"b4063",10.1016/j.celrep.2015.07.043,,e_coli,precise1k,s3://precise-db/raw_data/oxidative/soxR-PQ-RNAseq-1_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxidative/soxR-PQ-RNAseq-1_S2_L001_R2_001.fastq.gz,7,GSE65711,SRR1796602,SRX871632,Sangwoo Seo,Sangwoo Seo,oxidative,ILLUMINA,9/4/2014,oxidative:delsoxr_pq,oxidative__delsoxr_pq__1,M9,Batch,2,PAIRED,TRUE,No,37,O2,MiSeq,Escherichia coli K-12 MG1655 del_soxR,glucose(2),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,PQ (250uM),0,Kanamycin (50 ug/mL),,
p1k_00024,Oxidative,delsoxr_pq,2,p1k_00019;p1k_00020,MG1655,soxr,,,"b4063",10.1016/j.celrep.2015.07.043,,e_coli,precise1k,s3://precise-db/raw_data/oxidative/soxR-PQ-RNAseq-2_S3_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxidative/soxR-PQ-RNAseq-2_S3_L001_R2_001.fastq.gz,7,GSE65711,SRR1796603,SRX871633,Sangwoo Seo,Sangwoo Seo,oxidative,ILLUMINA,9/4/2014,oxidative:delsoxr_pq,oxidative__delsoxr_pq__2,M9,Batch,2,PAIRED,TRUE,No,37,O2,MiSeq,Escherichia coli K-12 MG1655 del_soxR,glucose(2),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,PQ (250uM),0,Kanamycin (50 ug/mL),,
p1k_00025,Oxidative,delsoxs_pq,1,p1k_00019;p1k_00020,MG1655,soxs,,,"b4062",10.1016/j.celrep.2015.07.043,,e_coli,precise1k,s3://precise-db/raw_data/oxidative/soxS-PQ-RNAseq-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxidative/soxS-PQ-RNAseq-1_S1_L001_R2_001.fastq.gz,7,GSE65711,SRR1796604,SRX871634,Sangwoo Seo,Sangwoo Seo,oxidative,ILLUMINA,9/18/2014,oxidative:delsoxs_pq,oxidative__delsoxs_pq__1,M9,Batch,2,PAIRED,TRUE,No,37,O2,MiSeq,Escherichia coli K-12 MG1655 del_soxS,glucose(2),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,PQ (250uM),0,Kanamycin (50 ug/mL),,
p1k_00026,Oxidative,delsoxs_pq,2,p1k_00019;p1k_00020,MG1655,soxs,,,"b4062",10.1016/j.celrep.2015.07.043,,e_coli,precise1k,s3://precise-db/raw_data/oxidative/soxS-PQ-RNAseq-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxidative/soxS-PQ-RNAseq-2_S2_L001_R2_001.fastq.gz,7,GSE65711,SRR1796605,SRX871635,Sangwoo Seo,Sangwoo Seo,oxidative,ILLUMINA,9/18/2014,oxidative:delsoxs_pq,oxidative__delsoxs_pq__2,M9,Batch,2,PAIRED,TRUE,No,37,O2,MiSeq,Escherichia coli K-12 MG1655 del_soxS,glucose(2),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,PQ (250uM),0,Kanamycin (50 ug/mL),,
p1k_00027,Nac/NtrC,wt_csn,1,p1k_00027;p1k_00028,MG1655,,,,"",escholarship.org/uc/item/0k4709x6,,e_coli,precise1k,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytosine-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytosine-1_S1_L001_R2_001.fastq.gz,7,GSE54904,,,Donghyuk Kim,Donghyuk Kim,nac_ntrc,ILLUMINA,4/18/2013,nac_ntrc:wt_csn,nac_ntrc__wt_csn__1,W2,Batch,2,PAIRED,TRUE,No,37,O2,MiSeq,Escherichia coli K-12 MG1655,glucose(2),2,cytosine(2),,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
p1k_00028,Nac/NtrC,wt_csn,2,p1k_00027;p1k_00028,MG1655,,,,"",escholarship.org/uc/item/0k4709x6,,e_coli,precise1k,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytosine-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytosine-2_S2_L001_R2_001.fastq.gz,7,GSE54904,,,Donghyuk Kim,Donghyuk Kim,nac_ntrc,ILLUMINA,4/18/2013,nac_ntrc:wt_csn,nac_ntrc__wt_csn__2,W2,Batch,2,PAIRED,TRUE,No,37,O2,MiSeq,Escherichia coli K-12 MG1655,glucose(2),2,cytosine(2),,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
p1k_00029,Nac/NtrC,wt_cytd,1,p1k_00027;p1k_00028,MG1655,,,,"",escholarship.org/uc/item/0k4709x6,,e_coli,precise1k,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytidine-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytidine-1_S1_L001_R2_001.fastq.gz,7,GSE54904,,,Donghyuk Kim,Donghyuk Kim,nac_ntrc,ILLUMINA,4/17/2013,nac_ntrc:wt_cytd,nac_ntrc__wt_cytd__1,W2,Batch,2,PAIRED,TRUE,No,37,O2,MiSeq,Escherichia coli K-12 MG1655,glucose(2),2,cytidine(2),,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
p1k_00030,Nac/NtrC,wt_cytd,2,p1k_00027;p1k_00028,MG1655,,,,"",escholarship.org/uc/item/0k4709x6,,e_coli,precise1k,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytidine-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-cytidine-2_S2_L001_R2_001.fastq.gz,7,GSE54904,,,Donghyuk Kim,Donghyuk Kim,nac_ntrc,ILLUMINA,4/17/2013,nac_ntrc:wt_cytd,nac_ntrc__wt_cytd__2,W2,Batch,2,PAIRED,TRUE,No,37,O2,MiSeq,Escherichia coli K-12 MG1655,glucose(2),2,cytidine(2),,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
p1k_00031,Nac/NtrC,wt_gln,1,p1k_00027;p1k_00028,MG1655,,,,"",escholarship.org/uc/item/0k4709x6,,e_coli,precise1k,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-glutamine-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/nac_ntrc/MG1655-W2-glutamine-1_S1_L001_R2_001.fastq.gz,7,GSE54904,,,Donghyuk Kim,Donghyuk Kim,nac_ntrc,ILLUMINA,4/17/2013,nac_ntrc:wt_gln,nac_ntrc__wt_gln__1,W2,Batch,2,PAIRED,TRUE,No,37,O2,MiSeq,Escherichia coli K-12 MG1655,glucose(2),2,glutamine(2),,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
