gene,control_mean,treatment_mean,log2FC,p_value,neg_log10_p,regulation
b0921,-0.04597902900000055,-0.0382939835,0.007685045500000549,0.788687523186181,0.10309502953565046,ns
b0288,0.5911135334999984,0.5369669334999987,-0.05414659999999971,0.7895329240999753,0.10262975488076295,ns
b2869,0.27671293350000004,0.2669691090000001,-0.009743824499999942,0.7897918142236375,0.10248737180981558,ns
b0825,0.5768038689999999,0.6244292880000002,0.04762541900000028,0.7899303298690107,0.10241121084591197,ns
b2708,-0.6471058369999994,-0.6037763019999995,0.04332953499999981,0.7899654393943822,0.10239190846732438,ns
b0985,-0.1821054660000001,-0.2081622925,-0.026056826499999908,0.7910417020891071,0.10180062078830615,ns
b2207,-0.11251558900000001,0.09042047600000003,0.20293606500000005,0.7911746476175893,0.10172763771041025,ns
b4474,0.36148643550000026,0.2935656270000001,-0.06792080850000015,0.7912614881758113,0.10167997148941589,ns
b4472,-0.2983434065000003,-0.33158069400000034,-0.033237287500000046,0.7918732377837095,0.10134433424024972,ns
b3891,-0.9761154845000006,-0.9592681770000002,0.016847307500000408,0.7919512697207677,0.10130154056008703,ns
b4723,0.4033669124999997,0.5705233184999996,0.16715640599999992,0.7919994416420206,0.10127512458711616,ns
b3391,0.012452485500000152,0.12962712900000006,0.11717464349999991,0.7925828923552107,0.10095530600626292,ns
b3178,0.2920354939999994,0.3068692764999996,0.014833782500000225,0.7929882618280952,0.10073324125870872,ns
b3603,-0.0870135705000003,-0.0037398425000004093,0.0832737279999999,0.7930876465263395,0.10067881482695697,ns
b0443,-0.09237769699999986,-0.004820665000000002,0.08755703199999985,0.7935057234066496,0.1004499364139076,ns
b0824,0.3433584975,0.3221530905,-0.02120540700000001,0.7936231330806183,0.1003856815509061,ns
b0295,-0.7979766364999998,-0.5200589554999997,0.27791768100000014,0.7936959456783547,0.10034583813208087,ns
b3578,0.04686589199999995,0.030716088000000003,-0.016149803999999948,0.7945051174092023,0.09990330115588329,ns
b3453,-0.01344273349999935,0.0032810365000007,0.016723770000000047,0.7945545578606229,0.0998762767268126,ns
b4558,-0.5417470965000009,-0.4812597895000006,0.06048730700000027,0.794715046032343,0.09978856457595416,ns
b2890,-0.3641676354999994,-0.34726468949999933,0.016902946000000085,0.7953312519330156,0.0994519519425759,ns
b3625,0.7648329020000002,0.7272744220000003,-0.03755847999999995,0.7953662883936926,0.09943282053493345,ns
b1069,-0.392990160500001,-0.4258427255000003,-0.03285256499999928,0.7954581725870757,0.0993826518341326,ns
b3997,0.0022859950000002523,-0.01646851400000045,-0.018754509000000703,0.7962677088119176,0.09894089593913637,ns
b3143,-0.1088010945,-0.2495415555,-0.140740461,0.79634970900174,0.0988961743009224,ns
b4066,0.7191092549999999,0.7480625675,0.028953312500000106,0.7974666584041488,0.09828746547929951,ns
b1133,-0.11810864600000001,-0.13118511949999995,-0.013076473499999935,0.7983785385808122,0.09779114594563565,ns
b4705,-1.3217868484999995,-1.2239402884999997,0.0978465599999998,0.798558403444733,0.09769331576065628,ns
b3335,-0.5110517305000001,-0.56552364,-0.054471909499999915,0.7990130705445209,0.09744611628183865,ns
b4096,1.0965563569999999,1.0422942695000001,-0.05426208749999972,0.7997639471170016,0.09703817749813924,ns
b1949,0.12099458650000006,0.2678112160000001,0.14681662950000002,0.8003392995823149,0.09672585713741344,ns
b1604,1.0169018375000007,1.039135915000001,0.022234077500000282,0.8009723582764621,0.09638247125052125,ns
b2166,0.07874063499999985,0.1146587929999998,0.03591815799999995,0.802338702111379,0.09564225839202067,ns
b3679,0.0949979475,0.1274486034999999,0.0324506559999999,0.802722028904035,0.09543481862259097,ns
b3720,0.07311977749999996,0.11202045300000005,0.03890067550000009,0.803139802239732,0.09520885066575428,ns
b0909,-0.052886144500000155,-0.006004833500000046,0.046881311000000106,0.8033905079743576,0.09507330374538682,ns
b0212,0.14888087750000029,0.1108856674999998,-0.03799521000000049,0.803751395941251,0.09487825979206875,ns
b1048,-0.07107376649999961,-0.05421882349999935,0.01685494300000026,0.8040908580022634,0.09469487550577804,ns
b2220,-0.16403954099999996,-0.12261586499999995,0.041423676000000006,0.8042365048239974,0.09461621787348161,ns
b4410,-1.0740906620000001,-0.9647054225000002,0.1093852394999999,0.8047277188632302,0.09435103913282407,ns
b1271,0.11152581800000044,0.09881235750000035,-0.012713460500000093,0.8048058233702973,0.09430888983233725,ns
b1942,-0.836314349,-0.703155458,0.133158891,0.8048507409641164,0.09428465178855412,ns
b1502,-0.4210637555000002,-0.5244058715000002,-0.10334211599999998,0.8055529447886035,0.09390591039821582,ns
b3349,0.19209094999999896,0.2175413899999991,0.025450440000000157,0.8057488077921443,0.09380032840908252,ns
b2724,-0.4868080855,-0.35734565799999995,0.12946242750000003,0.8059216767292722,0.09370716293078399,ns
b2491,0.18882252500000013,0.2491628725000001,0.060340347499999974,0.8060477653436864,0.09363922170540669,ns
b0815,-0.40380384650000023,-0.36882875550000027,0.03497509099999996,0.8062446922150046,0.09353313145661055,ns
b1441,0.0903248460000003,0.13177225650000013,0.04144741049999982,0.8062977964335111,0.09350452710139656,ns
b0817,-0.1693063890000008,-0.12860469450000078,0.040701694500000024,0.8066207901265456,0.09333058852617222,ns
b0271,-0.19793139800000034,-0.13444757100000015,0.06348382700000019,0.8072831434446335,0.09297411575070845,ns
b0249,0.35682233049999995,0.2358850235,-0.12093730699999994,0.8074932694334542,0.09286108888551942,ns
b1822,-0.4815701280000009,-0.44449843500000025,0.03707169300000063,0.8076932970982412,0.09275352123570217,ns
b0544,0.7576832450000001,0.813187684,0.055504438999999905,0.8081566491814438,0.09250444952097743,ns
b2925,-0.12676379999999904,-0.1455446,-0.018780800000000958,0.8091152171870225,0.09198963088997554,ns
b1543,-0.23441627449999997,-0.27980562700000006,-0.04538935250000009,0.81005966840165,0.0914829901297865,ns
b3291,0.21677110899999968,0.1760983194999985,-0.040672789500001194,0.8102055772741392,0.09140477155597805,ns
b0685,0.3168752584999992,0.37647541699999953,0.05960015850000033,0.8105913325670124,0.09119804436245256,ns
b4498,-0.17656304050000043,-0.2132915960000003,-0.03672855549999987,0.8106279788632734,0.09117841064092107,ns
b1484,-0.4183528365,-0.3646058779999999,0.05374695850000011,0.8108125312241848,0.09107954784353378,ns
b0798,-0.4946090030000001,-0.5451181039999999,-0.050509100999999834,0.811227433021184,0.09085737136345898,ns
b3717,0.22646772150000016,0.2727315694999998,0.04626384799999966,0.8116969720902614,0.09060607409812041,ns
b3018,-0.1109090574999998,-0.0867512069999998,0.024157850499999994,0.8117469327923406,0.09057934369226332,ns
